publisher_raw,publisher
Elsevier,Elsevier
Elsevier BV,Elsevier
Pergamon,Elsevier
Elsevier Masson,Elsevier
North-Holland,Elsevier
Academic Press,Elsevier
Urban & Fischer,Elsevier
Elsevier Doyma,Elsevier
W.B. Saunders,Elsevier
JAI,Elsevier
Elsevier Current Trends,Elsevier
Elsevier Advanced Technology,Elsevier
"John Wiley & Sons, Ltd",Wiley
"John Wiley & Sons, Inc.",Wiley
"John Wiley & Sons, Inc",Wiley
Wiley,Wiley
Wiley-Blackwell,Wiley
Springer International Publishing,Springer
"Springer, Cham",Springer
Springer New York,Springer
Springer London,Springer
"Springer, Berlin, Heidelberg",Springer
"Birkhäuser, Cham",Springer
"Palgrave Macmillan, Cham",Springer
Springer Basel,Springer
Springer Science and Business Media LLC,Springer
Springer US,Springer
"Springer, Milano",Springer
"Springer, London",Springer
"Springer, New Delhi",Springer
Springer Berlin Heidelberg,Springer
Springer Netherlands,Springer
BioMed Central,Springer
Nature Publishing Group,Springer
SpringerOpen,Springer
Springer Nature,Springer
Springer India,Springer
Palgrave Macmillan UK,Springer
Springer Japan,Springer
Springer Vienna,Springer
"Society for Mining, Metallurgy and Exploration Inc.",Springer
Springer Milan,Springer
Springer Paris,Springer
Springer-Verlag,Springer
"Springer, New York, NY",Springer
"Springer, Dordrecht",Springer
"Springer, Tokyo",Springer
"Springer, Vienna",Springer
Springer Healthcare,Springer
Springer Singapore,Springer
"Springer, Singapore",Springer
Oxford Academic,Oxford University Press
Oxford University Press (OUP),Oxford University Press
MDPI AG,MDPI
Multidisciplinary Digital Publishing Institute,MDPI
"Scientific Research Publishing, Inc,",Scientific Research Publishing
"Scientific Research Publishing, Inc.",Scientific Research Publishing
Cambridge University Press,Cambridge University Press
Cambridge University Press (CUP),Cambridge University Press
De Gruyter,De Gruyter
Walter de Gruyter GmbH,De Gruyter
Sciendo,De Gruyter
De Gruyter Mouton,De Gruyter
De Gruyter Oldenbourg,De Gruyter
Pleiades Publishing,Pleiades Publishing
Pleiades Publishing Ltd,Pleiades Publishing
Allerton Press,Pleiades Publishing
Hindawi,Hindawi
Hindawi Limited,Hindawi
Frontiers,Frontiers
Frontiers Media SA,Frontiers
Royal Society of Chemistry (RSC),Royal Society of Chemistry
The Royal Society of Chemistry,Royal Society of Chemistry
RSC,Royal Society of Chemistry
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),SciELO
SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),SciELO
Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,Universidade de Sao Paulo
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",Universidade de Sao Paulo
ASME International,American Society of Mechanical Engineers
American Society of Mechanical Engineers Digital Collection,American Society of Mechanical Engineers
European Mathematical Society - EMS - Publishing House GmbH,European Mathematical Society
European Mathematical Society Publishing House,European Mathematical Society
American Physical Society,American Physical Society
American Physical Society (APS),American Physical Society
CSIRO PUBLISHING,CSIRO Publishing
CSIRO Publishing,CSIRO Publishing
Begel House Inc.,Begell House
Begell House,Begell House
Informa UK Limited,Informa UK Limited
Maney Publishing,Informa UK Limited
Informa Healthcare,Informa UK Limited
Medknow,Medknow
Medknow Publications,Medknow
Optical Society of America,Optical Society of America
The Optical Society,Optical Society of America
AIP Publishing LLC AIP Publishing,AIP Publishing
AIP Publishing,AIP Publishing
AIP Publishing LLCAIP Publishing,AIP Publishing
 AIP Publishing LLC AIP Publishing ,AIP Publishing
 AIP Publishing LLCAIP Publishing ,AIP Publishing
American Institute of PhysicsAIP,API Publishing
Brill,Brill
Brill Nijhoff,Brill
American Medical Association,American Medical Association
American Medical Association (AMA),American Medical Association
MIT Press,MIT Press
MIT Press - Journals,MIT Press
Berghahn Books,Berghahn
Berghahn Journals,Berghahn
John Benjamins,John Benjamins
John Benjamins Publishing Company,John Benjamins
BMJ,BMJ
BMJ Publishing Group Ltd,BMJ
BMJ Specialist Journals,BMJ
British Medical Journal Publishing Group,BMJ
BMJ Publishing Group,BMJ
BMJ Publishing Group Limited,BMJ
International Union of Crystallography,International Union of Crystallograph
International Union of Crystallography (IUCr),International Union of Crystallograph
IET Digital Library,Institution of Engineering and Technology
Institution of Engineering and Technology (IET),Institution of Engineering and Technology
The Institution of Engineering and Technology,Institution of Engineering and Technology
"MedCrave Group, LLC",MedCrave
MedCrave Publishing,MedCrave
Co. Ltd. Ukrinformnauka,Ukrinformnauka
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),Ukrinformnauka
International Society for Optics and Photonics,International Society for Optics and Photonics
SPIE-Intl Soc Optical Eng,International Society for Optics and Photonics
S. KARGER AG,S. Karger AG
S. Karger AG,S. Karger AG
"Institute of Mathematics, Polish Academy of Sciences",Institute of Mathematics Polish Academy of Sciences
Instytut Matematyczny Polskiej Akademii Nauk,Institute of Mathematics Polish Academy of Sciences
Public Library of Science,Public Library of Science
Public Library of Science (PLoS),Public Library of Science
"Museum National d'Histoire Naturelle, Paris, France",Muséum national d'Histoire naturelle Paris
"Muséum national d'Histoire naturelle, Paris",Muséum national d'Histoire naturelle Paris
National Documentation Centre,National Documentation Centre (EKT)
National Documentation Centre (EKT),National Documentation Centre (EKT)
American Association for Cancer Research,American Association for Cancer Research
American Association for Cancer Research (AACR),American Association for Cancer Research
Now Publishers,Now Publishers
"Now Publishers, Inc.",Now Publishers
Akademiai Kiado Zrt.,Akadémiai Kiadó
Akadémiai Kiadó,Akadémiai Kiadó
Lavoisier,Lavoisier
Lavoisier SAS,Lavoisier
Georg Thieme Verlag KG,Georg Thieme Verlag
Schattauer GmbH,Georg Thieme Verlag
© Georg Thieme Verlag KG,Georg Thieme Verlag
Thieme Medical Publishers,Georg Thieme Verlag
© Georg Thieme Verlag,Georg Thieme Verlag
Emerald Group Publishing Limited,Emerald Group
Emerald Publishing Limited,Emerald Group
Emerald Group Publishing Limited.,Emerald Group
Emerald Group Publishing,Emerald Group
Emerald,Emerald Group
WORLD SCIENTIFIC,World Scientific
World Scientific,World Scientific
Kowsar,Kowsar
Kowsar Medical Institute,Kowsar
ISTE Group,ISTE Group
ISTE OpenScience,ISTE Group
American Society for Microbiology,American Society for Microbiology
American Society for Microbiology Journals,American Society for Microbiology
The Scientific and Technological Research Council of Turkey,The Scientific and Technological Research Council of Turkey
The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM),The Scientific and Technological Research Council of Turkey
"Publishing House for Science and Technology, Vietnam Academy of Science and Technology","Publishing House for Science and Technology, Vietnam Academy of Science and Technology"
"Publishing House for Science and Technology, Vietnam Academy of Science and Technology (Publications)","Publishing House for Science and Technology, Vietnam Academy of Science and Technology"
American Association for the Advancement of Science,American Association for the Advancement of Science
American Association for the Advancement of Science (AAAS),American Association for the Advancement of Science
Iris Publishers,Iris Publishers
Iris Publishers LLC,Iris Publishers
Ubiquity Press,Ubiquity Press
"Ubiquity Press, Ltd.",Ubiquity Press
UN,United Nations
United Nations,United Nations
Cold Spring Harbor Lab,Cold Spring Harbor Laboratory
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory
American Vacuum Society AVS,American Vacuum Society
American Vacuum Society,American Vacuum Society
American Vacuum SocietyAVS,American Vacuum Society
American Vacuum SocietyAVS,American Vacuum Society
 American Vacuum Society AVS ,American Vacuum Society
 American Vacuum SocietyAVS ,American Vacuum Society
Portland Press,Portland Press
Portland Press Ltd.,Portland Press
Rockefeller University Press,Rockefeller University Press
The Rockefeller University Press,Rockefeller University Press
Edward Elgar Publishing,Edward Elgar Publishing
Edward Elgar Publishing Ltd,Edward Elgar Publishing
Kaunas University of Technology (KTU),Kaunas University of Technology
Publishing House Technologija,Kaunas University of Technology
European Respiratory Society,European Respiratory Society
European Respiratory Society (ERS),European Respiratory Society
Edizioni Ca' Foscari,Edizioni Ca' Foscari
